    51/299     5.11G   0.02671  0.005348         0   0.03205         5       640    0.8677    0.9912     0.995    0.6827   0.02265  0.003213         0
    52/299     5.11G   0.02635   0.00515         0    0.0315        12       640    0.8234    0.9912    0.9945    0.6901   0.02333  0.003427         0
    53/299     5.11G   0.02768  0.005422         0    0.0331        16       640    0.8821    0.9912    0.9949    0.6379   0.02469  0.003295         0
    54/299     5.11G    0.0266  0.005201         0    0.0318        13       640     0.809    0.9912    0.9938     0.666   0.02411  0.003578         0
    55/299     5.11G   0.02674  0.005324         0   0.03206        12       640    0.8585    0.9912    0.9949    0.7191   0.02138  0.003267         0
    56/299     5.11G   0.02631  0.005107         0   0.03142         9       640    0.9301    0.9912     0.995    0.6777    0.0225   0.00319         0
    57/299     5.11G   0.02587  0.005094         0   0.03097         6       640    0.9005    0.9912     0.995     0.719   0.02129  0.003074         0
    58/299     5.11G   0.02662  0.005105         0   0.03173        15       640    0.8276         1     0.995    0.6834   0.02337  0.003139         0
    59/299     5.11G   0.02602  0.005122         0   0.03114        10       640    0.9257    0.9922     0.995    0.6935   0.02214  0.003201         0
    60/299     5.11G   0.02498  0.005116         0    0.0301        11       640    0.8327    0.9912    0.9949    0.7069   0.02222  0.003302         0
    61/299     5.11G   0.02604   0.00505         0   0.03109        16       640    0.9438    0.9912     0.995     0.686   0.02186   0.00305         0
    62/299     5.11G   0.02541  0.004887         0    0.0303        11       640      0.96    0.9823    0.9943    0.6863   0.02317  0.003877         0
    63/299     5.11G    0.0255  0.004942         0   0.03044         9       640    0.8986    0.9912     0.995    0.6614   0.02264   0.00324         0
    64/299     5.11G   0.02532   0.00506         0   0.03038        11       640     0.936    0.9912     0.995    0.6984   0.02168  0.003125         0
    65/299     5.11G   0.02459  0.004959         0   0.02955        12       640    0.9078    0.9912    0.9949    0.7027   0.02252  0.003201         0
    66/299     5.11G   0.02497  0.004929         0    0.0299        12       640     0.928         1     0.995    0.6847   0.02307  0.003097         0
    67/299     5.11G   0.02517  0.004982         0   0.03015         9       640    0.9271    0.9912     0.995    0.6966   0.02306  0.003072         0
    68/299     5.11G   0.02482  0.005096         0   0.02992        10       640    0.9096         1     0.995    0.7034    0.0217  0.003014         0
    69/299     5.11G   0.02417  0.004885         0   0.02906        13       640    0.9581         1     0.995    0.7037   0.02193  0.002924         0
    70/299     5.11G   0.02452  0.004886         0    0.0294         8       640    0.9298    0.9912    0.9947    0.6877   0.02172     0.003         0
    71/299     5.11G   0.02525  0.005055         0    0.0303        11       640    0.9112    0.9912     0.995    0.6879   0.02186  0.003112         0
    72/299     5.11G   0.02455   0.00466         0   0.02921        12       640    0.9364    0.9912     0.995    0.6893   0.02294  0.003218         0
    73/299     5.11G   0.02497  0.004852         0   0.02983         7       640    0.9016    0.9912    0.9948    0.7139    0.0206  0.003058         0
    74/299     5.11G   0.02403  0.004895         0   0.02892        10       640    0.8843    0.9912    0.9949     0.704   0.02159  0.003254         0
    75/299     5.11G    0.0248  0.004877         0   0.02967         9       640    0.9068    0.9912     0.995    0.6789    0.0224  0.002974         0
