LPRNet loaded
STN loaded
training dataset loaded with length : 0
training kicked off..
----------
Epoch 224/999, Iters: 000900, loss: 0.0802, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 249/999, Iters: 001000, loss: 0.0431, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 274/999, Iters: 001100, loss: -0.0017, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 299/999, Iters: 001200, loss: -0.0275, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 324/999, Iters: 001300, loss: -0.0568, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 349/999, Iters: 001400, loss: -0.0769, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 374/999, Iters: 001500, loss: -0.0736, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 399/999, Iters: 001600, loss: -0.1263, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 424/999, Iters: 001700, loss: -0.1497, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 449/999, Iters: 001800, loss: -0.1376, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 474/999, Iters: 001900, loss: -0.1030, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 499/999, Iters: 002000, loss: -0.1687, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 524/999, Iters: 002100, loss: -0.1359, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 549/999, Iters: 002200, loss: -0.1833, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 574/999, Iters: 002300, loss: -0.1766, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 599/999, Iters: 002400, loss: -0.1399, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 624/999, Iters: 002500, loss: -0.1804, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 649/999, Iters: 002600, loss: -0.1368, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 674/999, Iters: 002700, loss: -0.1479, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 699/999, Iters: 002800, loss: -0.1770, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 724/999, Iters: 002900, loss: -0.2085, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 749/999, Iters: 003000, loss: -0.1839, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 774/999, Iters: 003100, loss: -0.1433, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 799/999, Iters: 003200, loss: -0.1788, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 824/999, Iters: 003300, loss: -0.1862, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 849/999, Iters: 003400, loss: -0.1920, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 874/999, Iters: 003500, loss: -0.1964, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 899/999, Iters: 003600, loss: -0.1610, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 924/999, Iters: 003700, loss: -0.1479, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 949/999, Iters: 003800, loss: -0.2048, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 974/999, Iters: 003900, loss: -0.1826, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 999/999, Iters: 004000, loss: -0.2287, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 8/999, Iters: 000100, loss: 3.2396, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 16/999, Iters: 000200, loss: 1.6927, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 24/999, Iters: 000300, loss: 0.9324, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/999, Iters: 000400, loss: 0.9006, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 41/999, Iters: 000500, loss: 0.5859, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 49/999, Iters: 000600, loss: 0.2460, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 58/999, Iters: 000700, loss: 0.3637, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 66/999, Iters: 000800, loss: 0.3005, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 74/999, Iters: 000900, loss: 0.0465, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/999, Iters: 001000, loss: 0.2967, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 91/999, Iters: 001100, loss: 0.2533, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 99/999, Iters: 001200, loss: -0.0148, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 108/999, Iters: 001300, loss: 0.1065, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 116/999, Iters: 001400, loss: 0.1483, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 124/999, Iters: 001500, loss: -0.0299, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 133/999, Iters: 001600, loss: 0.0242, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 141/999, Iters: 001700, loss: 0.0346, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 149/999, Iters: 001800, loss: -0.1554, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 158/999, Iters: 001900, loss: -0.0392, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 166/999, Iters: 002000, loss: -0.0261, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 174/999, Iters: 002100, loss: -0.1719, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 183/999, Iters: 002200, loss: -0.0531, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 191/999, Iters: 002300, loss: -0.0309, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 199/999, Iters: 002400, loss: -0.1781, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 208/999, Iters: 002500, loss: 0.0058, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 216/999, Iters: 002600, loss: -0.0440, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 224/999, Iters: 002700, loss: -0.1467, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
