Epoch 24/99, Iters: 003100, loss: 0.0961, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 25/99, Iters: 003200, loss: 1.0716, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 26/99, Iters: 003300, loss: 0.6437, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 26/99, Iters: 003400, loss: 0.2287, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 27/99, Iters: 003500, loss: 0.4249, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 28/99, Iters: 003600, loss: 0.2051, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 29/99, Iters: 003700, loss: 0.4894, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 30/99, Iters: 003800, loss: 0.0840, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 30/99, Iters: 003900, loss: -0.1309, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 31/99, Iters: 004000, loss: 0.4223, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 32/99, Iters: 004100, loss: -0.0030, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 33/99, Iters: 004200, loss: -0.0994, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 34/99, Iters: 004300, loss: 0.3259, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 34/99, Iters: 004400, loss: -0.0351, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: nan, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: nan, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: nan, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: nan, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: nan, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.7165, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: nan, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: nan, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.0704, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 2.3441, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: 2.4503, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000400, loss: 1.4631, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000500, loss: 2.5851, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 4/99, Iters: 000600, loss: 1.4723, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 5/99, Iters: 000700, loss: 1.7695, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 6/99, Iters: 000800, loss: 1.6364, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 000900, loss: 1.2102, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 001000, loss: 1.7178, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 8/99, Iters: 001100, loss: 1.2166, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 9/99, Iters: 001200, loss: 0.6646, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 10/99, Iters: 001300, loss: 1.9845, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 11/99, Iters: 001400, loss: 1.3447, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.5262, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 2.5333, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: 2.4591, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000400, loss: 2.9393, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.2214, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 2.7707, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: 2.5934, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000400, loss: 2.3031, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000500, loss: 2.6979, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 4/99, Iters: 000600, loss: 2.5692, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 5/99, Iters: 000700, loss: 2.5457, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 6/99, Iters: 000800, loss: 2.6405, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 000900, loss: 2.9148, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 001000, loss: 2.9024, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 8/99, Iters: 001100, loss: 2.8186, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 9/99, Iters: 001200, loss: 2.2578, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.6023, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 2.8611, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: 2.6636, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000400, loss: 2.2219, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000500, loss: 1.8585, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
