    51/299     5.11G   0.02459  0.004756         0   0.02934        14       640    0.8768    0.9896    0.9785    0.6798   0.02192  0.003437         0
    52/299     5.11G   0.02505  0.004947         0   0.02999         9       640    0.9082    0.9896    0.9784    0.6774   0.02109  0.003418         0
    53/299     5.11G   0.02391  0.004656         0   0.02856        19       640    0.8867    0.9896    0.9809    0.6822   0.02136  0.003344         0
    54/299     5.11G   0.02455  0.004815         0   0.02936         9       640    0.8608    0.9845      0.98    0.6842   0.02141  0.003444         0
    55/299     5.11G   0.02395  0.004716         0   0.02867        12       640     0.908    0.9896    0.9822    0.7039   0.02062  0.003307         0
    56/299     5.11G   0.02468  0.004752         0   0.02943        12       640     0.836    0.9896    0.9772    0.6899   0.02179  0.003413         0
    57/299     5.11G   0.02416  0.004732         0   0.02889        15       640    0.8684    0.9896    0.9745    0.6747    0.0218  0.003387         0
    58/299     5.11G   0.02444  0.004625         0   0.02906        14       640     0.867    0.9896    0.9795    0.6768   0.02127  0.003447         0
    59/299     5.11G   0.02427  0.004772         0   0.02904        13       640    0.9302    0.9896    0.9804    0.7007   0.02087  0.003356         0
    60/299     5.11G   0.02424  0.004811         0   0.02905        17       640    0.8921    0.9896    0.9764    0.6848   0.02076  0.003358         0
    61/299     5.11G   0.02404   0.00473         0   0.02877        19       640    0.9409    0.9896     0.981    0.6998   0.02093  0.003334         0
    62/299     5.11G   0.02344   0.00464         0   0.02808        11       640    0.8879    0.9896    0.9814    0.7022   0.02086  0.003325         0
    63/299     5.11G   0.02361  0.004659         0   0.02827        13       640    0.8943    0.9896    0.9768    0.6932   0.02071  0.003391         0
    64/299     5.11G   0.02368  0.004777         0   0.02845        17       640    0.8729    0.9896    0.9805    0.6923   0.02073  0.003339         0
    65/299     5.11G   0.02379   0.00461         0    0.0284        17       640    0.9352    0.9896    0.9813    0.6886   0.02155  0.003311         0
    66/299     5.11G   0.02313  0.004631         0   0.02776        22       640     0.877    0.9896    0.9802    0.6931   0.02088  0.003337         0
    67/299     5.11G   0.02327   0.00458         0   0.02785        11       640    0.9007    0.9896    0.9753    0.6838   0.02142  0.003328         0
    68/299     5.11G   0.02333  0.004621         0   0.02795        14       640    0.9027    0.9896    0.9761    0.6849   0.02113  0.003325         0
    69/299     5.11G   0.02328   0.00449         0   0.02777        17       640    0.9031    0.9896    0.9766    0.6962   0.02065  0.003325         0
    70/299     5.11G   0.02306  0.004661         0   0.02772        13       640    0.9065    0.9896    0.9703    0.6857   0.02145  0.003298         0
    71/299     5.11G   0.02281  0.004538         0   0.02735        23       640    0.9123    0.9896    0.9759     0.693   0.02084  0.003312         0
    72/299     5.11G   0.02315  0.004638         0   0.02779        15       640    0.9218    0.9896    0.9793     0.704   0.01984  0.003231         0
    73/299     5.11G   0.02321  0.004576         0   0.02778        12       640    0.9272    0.9896    0.9784    0.6968   0.02059  0.003263         0
    74/299     5.11G   0.02287  0.004427         0   0.02729        13       640    0.8866    0.9896    0.9759    0.6975   0.02075  0.003331         0
    75/299     5.11G   0.02345   0.00452         0   0.02797        11       640    0.9311    0.9896    0.9742    0.6963   0.02041    0.0032         0
    76/299     5.11G   0.02333  0.004539         0   0.02787        17       640    0.9351    0.9896    0.9808     0.707      0.02  0.003212         0
    77/299     5.11G   0.02325  0.004543         0   0.02779        13       640    0.9405    0.9896    0.9801    0.7063   0.02063   0.00321         0
    78/299     5.11G   0.02278   0.00437         0   0.02715        16       640    0.9259    0.9896    0.9813    0.7097   0.01958  0.003114         0
    79/299     5.11G    0.0227  0.004533         0   0.02723         8       640    0.8873    0.9896    0.9812     0.692   0.02168  0.003249         0
    80/299     5.11G   0.02264  0.004526         0   0.02716        13       640    0.9009    0.9896    0.9799    0.7136   0.01981  0.003146         0
    81/299     5.11G   0.02248  0.004416         0    0.0269        18       640     0.911    0.9896    0.9786     0.705   0.02036  0.003102         0
    82/299     5.11G   0.02265  0.004526         0   0.02717        10       640     0.884    0.9896    0.9801    0.7089   0.01933  0.003184         0
    83/299     5.11G   0.02212  0.004453         0   0.02657        12       640    0.9341    0.9896    0.9795    0.7065   0.02021  0.003135         0
    84/299     5.11G   0.02197  0.004482         0   0.02645        16       640    0.9118    0.9896    0.9762    0.6862   0.02063  0.003269         0
    85/299     5.11G   0.02226  0.004498         0   0.02676        14       640    0.8937    0.9896    0.9778    0.6926   0.02018  0.003134         0
    86/299     5.11G   0.02201  0.004548         0   0.02656        13       640    0.9266    0.9896    0.9766     0.707   0.02015  0.003163         0
    87/299     5.11G   0.02233  0.004377         0   0.02671        10       640     0.836    0.9896    0.9786    0.7037   0.02013  0.003264         0
    88/299     5.11G   0.02196  0.004444         0    0.0264        17       640    0.9206    0.9896    0.9814    0.6979   0.02025  0.003158         0
    89/299     5.11G   0.02247  0.004477         0   0.02695        24       640    0.9266    0.9896    0.9814    0.6996   0.02035  0.003216         0
    90/299     5.11G   0.02215  0.004504         0   0.02665        14       640    0.8889    0.9896    0.9807    0.7077   0.01999  0.003216         0
    91/299     5.11G   0.02267  0.004424         0   0.02709        11       640    0.9243    0.9896    0.9802    0.7091   0.01944  0.003125         0
    92/299     5.11G   0.02199  0.004485         0   0.02648        12       640    0.9083    0.9896    0.9792    0.7162   0.01991  0.003216         0
    93/299     5.11G    0.0216  0.004365         0   0.02597        13       640    0.8675    0.9896    0.9778    0.7141   0.01976  0.003206         0
    94/299     5.11G   0.02188  0.004555         0   0.02644        15       640    0.9308    0.9896    0.9784    0.7077   0.01955  0.003178         0
    95/299     5.11G   0.02151  0.004318         0   0.02583        13       640    0.9116    0.9896    0.9804    0.7014    0.0199  0.003157         0
    96/299     5.11G    0.0219  0.004362         0   0.02626        19       640    0.9081    0.9896    0.9772    0.7073   0.01959  0.003165         0
    97/299     5.11G    0.0218  0.004403         0    0.0262        14       640    0.8728    0.9896    0.9798    0.7031   0.01986  0.003209         0
    98/299     5.11G   0.02157  0.004301         0   0.02588        18       640    0.9203    0.9896    0.9813    0.7018   0.02072  0.003253         0
    99/299     5.11G   0.02207  0.004382         0   0.02645        13       640    0.9237    0.9896    0.9799    0.6974   0.02011  0.003229         0
   100/299     5.11G   0.02172  0.004315         0   0.02604        13       640    0.8993    0.9896    0.9766    0.7059   0.02013  0.003144         0
   101/299     5.11G   0.02167  0.004293         0   0.02596        13       640     0.933    0.9896    0.9807    0.7128   0.01943  0.003051         0
   102/299     5.11G   0.02155  0.004295         0   0.02585        18       640    0.9026    0.9896    0.9805    0.7107   0.01994   0.00309         0
   103/299     5.11G   0.02106  0.004238         0    0.0253        14       640    0.9345    0.9896    0.9793    0.7154   0.01968  0.003084         0
   104/299     5.11G   0.02137  0.004419         0   0.02579         8       640    0.9421    0.9896     0.981    0.7066    0.0197  0.003127         0
   105/299     5.11G   0.02134  0.004363         0    0.0257        15       640    0.9226    0.9896    0.9807    0.7068    0.0203  0.003148         0
   106/299     5.11G   0.02106   0.00448         0   0.02554        15       640    0.9375    0.9896    0.9815    0.7092   0.01959  0.003087         0
   107/299     5.11G   0.02136  0.004231         0   0.02559        16       640    0.9046    0.9896    0.9733    0.6967   0.02054  0.003159         0
   108/299     5.11G   0.02143  0.004257         0   0.02568        13       640    0.8908    0.9896     0.979    0.7036   0.02021  0.003206         0
   109/299     5.11G   0.02124  0.004318         0   0.02556        10       640    0.8809    0.9896     0.976    0.6987    0.0199  0.003133         0
   110/299     5.11G   0.02115  0.004227         0   0.02538        12       640    0.9071    0.9896    0.9787    0.7035   0.01975  0.003087         0
   111/299     5.11G   0.02106  0.004231         0   0.02529        10       640      0.89    0.9896      0.98    0.7194   0.01894  0.003076         0
   112/299     5.11G     0.021  0.004352         0   0.02535        15       640    0.9307    0.9896    0.9757    0.7098   0.02001    0.0031         0
   113/299     5.11G   0.02105  0.004326         0   0.02538        14       640    0.9371    0.9896    0.9794    0.7066   0.01995  0.003076         0
   114/299     5.11G   0.02117  0.004284         0   0.02546        13       640    0.9414    0.9896     0.973    0.7073   0.02027  0.003121         0
   115/299     5.11G   0.02139  0.004431         0   0.02582        12       640    0.9156    0.9896    0.9778    0.7082   0.01995  0.003072         0
   116/299     5.11G   0.02092  0.004471         0   0.02539        19       640     0.906    0.9896    0.9747    0.7018   0.02027  0.003092         0
   117/299     5.11G   0.02062  0.004308         0   0.02493        16       640    0.9208    0.9896    0.9807    0.7152   0.01961  0.003065         0
   118/299     5.11G   0.02082  0.004197         0   0.02501        11       640    0.9292    0.9896    0.9809    0.7087      0.02  0.003089         0
   119/299     5.11G   0.02067  0.004303         0   0.02497        20       640    0.9196    0.9896    0.9773    0.7003   0.02006  0.003094         0
   120/299     5.11G   0.02069  0.004291         0   0.02498        16       640    0.9419    0.9896     0.981    0.7186   0.02003  0.003071         0
   121/299     5.11G   0.02069  0.004183         0   0.02487        14       640    0.9305    0.9896    0.9807    0.7063   0.02018  0.003057         0
   122/299     5.11G   0.02106   0.00441         0   0.02547        10       640    0.9347    0.9896    0.9755    0.6888   0.02039  0.003107         0
   123/299     5.11G   0.02093  0.004365         0   0.02529        16       640    0.9483    0.9896     0.981    0.7069   0.01982  0.003065         0
   124/299     5.11G   0.02055  0.004264         0   0.02481        12       640    0.9397    0.9896    0.9798    0.7089   0.01942  0.003054         0
   125/299     5.11G   0.02024  0.004297         0   0.02454        18       640    0.8805    0.9896    0.9741    0.7075   0.01957  0.003095         0
   126/299     5.11G   0.02048   0.00417         0   0.02465        16       640     0.932    0.9896    0.9786    0.7021   0.02021  0.003084         0
   127/299     5.11G   0.02044   0.00413         0   0.02457        12       640    0.9323    0.9896    0.9748    0.7129   0.01994  0.003025         0
   128/299     5.11G   0.02054  0.004274         0   0.02481        13       640    0.9142    0.9896    0.9733    0.7027   0.01991  0.003057         0
   129/299     5.11G   0.02019  0.004206         0   0.02439        14       640    0.9338    0.9896    0.9741    0.6962   0.01992  0.003029         0
